loja_origem;loja_destino;prazo;segmento;sku;descricao;quantidade
056 - OUT - Outlet Contagem;070 - LPF - BH Rua Vila da Serra;2025-09-15;ADULTO FEMININO;1.P0022.P.00PT01;TOP MOVE SENSE.NOIR BLACK;2
056 - OUT - Outlet Contagem;070 - LPF - BH Rua Vila da Serra;2025-09-15;ADULTO FEMININO;1.P1015.PP.00BC02;CAMISETA BASIC COMFORT.MERGED ICE;2
056 - OUT - Outlet Contagem;070 - LPF - BH Rua Vila da Serra;2025-09-15;ADULTO FEMININO;1.P1015.PP.00PT02;CAMISETA BASIC COMFORT.ECLIPSE;2
056 - OUT - Outlet Contagem;070 - LPF - BH Rua Vila da Serra;2025-09-15;ADULTO FEMININO;1.P1161.PP.00BC01;BERMUDA ALLURE ADAPTIV.WHITE;1
056 - OUT - Outlet Contagem;070 - LPF - BH Rua Vila da Serra;2025-09-15;ADULTO FEMININO;1.P1191.G.00PT01;CALCINHA FIO BASICA SEAMLESS.NOIR BLACK;2
056 - OUT - Outlet Contagem;070 - LPF - BH Rua Vila da Serra;2025-09-15;ADULTO FEMININO;1.P1191.P.00BG75;CALCINHA FIO BASICA SEAMLESS.VENUS;1
056 - OUT - Outlet Contagem;070 - LPF - BH Rua Vila da Serra;2025-09-15;ADULTO FEMININO;1.P1191.P.00PT01;CALCINHA FIO BASICA SEAMLESS.NOIR BLACK;1
